"Data";"DBGG_PIB"
"01/04/2022";"76,37"
"01/05/2022";"75,70"
"01/06/2022";"75,61"
"01/07/2022";"75,23"
"01/08/2022";"74,56"
"01/09/2022";"74,15"
"01/10/2022";"73,72"
"01/11/2022";"72,98"
"01/12/2022";"71,68"
"01/01/2023";"71,38"
"01/02/2023";"71,76"
"01/03/2023";"71,53"
"01/04/2023";"71,60"
"01/05/2023";"72,20"
"01/06/2023";"72,14"
"01/07/2023";"72,72"
"01/08/2023";"73,19"
"01/09/2023";"73,37"
"01/10/2023";"73,77"
"01/11/2023";"73,83"
"01/12/2023";"74,33"
"01/01/2024";"75,03"
