"Data";"Resultado Primario"
"01/04/2008";"-16860,58"
"01/05/2008";"-4916,41"
"01/06/2008";"-7067,13"
"01/07/2008";"-7774,08"
"01/08/2008";"-7253,00"
"01/09/2008";"-5173,45"
"01/10/2008";"-14465,58"
"01/11/2008";"3282,72"
"01/12/2008";"20752,40"
"01/01/2009";"-4795,83"
"01/02/2009";"-903,39"
"01/03/2009";"-5815,70"
"01/04/2009";"-10861,57"
"01/05/2009";"290,76"
"01/06/2009";"1136,67"
"01/07/2009";"-1690,76"
"01/08/2009";"-3898,51"
"01/09/2009";"8019,91"
"01/10/2009";"-11377,06"
"01/11/2009";"-10712,45"
"01/12/2009";"-1835,29"
"01/01/2010";"-13537,87"
"01/02/2010";"700,99"
"01/03/2010";"3912,28"
"01/04/2010";"-16528,16"
"01/05/2010";"1431,40"
"01/06/2010";"-745,68"
"01/07/2010";"-612,79"
"01/08/2010";"-3457,86"
"01/09/2010";"-25593,51"
"01/10/2010";"-7232,97"
"01/11/2010";"-1654,91"
"01/12/2010";"-15404,18"
"01/01/2011";"-13806,98"
"01/02/2011";"-2530,30"
"01/03/2011";"-9675,69"
"01/04/2011";"-15220,07"
"01/05/2011";"-4452,10"
"01/06/2011";"-9703,98"
"01/07/2011";"-10918,21"
"01/08/2011";"-2031,00"
"01/09/2011";"-5982,20"
"01/10/2011";"-11403,92"
"01/11/2011";"-4808,12"
"01/12/2011";"-2502,92"
"01/01/2012";"-20233,16"
"01/02/2012";"-5316,54"
"01/03/2012";"-7456,06"
"01/04/2012";"-11479,07"
"01/05/2012";"-1557,95"
"01/06/2012";"-2018,97"
"01/07/2012";"-3834,69"
"01/08/2012";"-1172,59"
"01/09/2012";"-930,56"
"01/10/2012";"-10060,73"
"01/11/2012";"5875,28"
"01/12/2012";"-27900,93"
"01/01/2013";"-26088,37"
"01/02/2013";"7143,80"
"01/03/2013";"-1059,38"
"01/04/2013";"-7064,55"
"01/05/2013";"-5235,57"
"01/06/2013";"-1424,33"
"01/07/2013";"-3767,59"
"01/08/2013";"54,57"
"01/09/2013";"10760,03"
"01/10/2013";"-5256,93"
"01/11/2013";"-28608,00"
"01/12/2013";"-14744,37"
"01/01/2014";"-12549,08"
"01/02/2014";"3389,48"
"01/03/2014";"-3161,53"
"01/04/2014";"-16854,34"
"01/05/2014";"11073,37"
"01/06/2014";"2732,22"
"01/07/2014";"1894,96"
"01/08/2014";"11950,77"
"01/09/2014";"20994,74"
"01/10/2014";"-4903,11"
"01/11/2014";"6658,88"
"01/12/2014";"-754,65"
"01/01/2015";"-10075,09"
"01/02/2015";"6671,41"
"01/03/2015";"-1482,66"
"01/04/2015";"-10637,65"
"01/05/2015";"8868,70"
"01/06/2015";"8566,16"
"01/07/2015";"6039,90"
"01/08/2015";"6933,74"
"01/09/2015";"6840,14"
"01/10/2015";"12316,38"
"01/11/2015";"21670,57"
"01/12/2015";"60943,99"
"01/01/2016";"-20898,52"
"01/02/2016";"26432,76"
"01/03/2016";"8944,40"
"01/04/2016";"-8714,32"
"01/05/2016";"17766,35"
"01/06/2016";"10450,53"
"01/07/2016";"11852,89"
"01/08/2016";"22142,63"
"01/09/2016";"26499,09"
"01/10/2016";"-39127,34"
"01/11/2016";"39876,40"
"01/12/2016";"64248,47"
"01/01/2017";"-26292,56"
"01/02/2017";"28769,48"
"01/03/2017";"11685,93"
"01/04/2017";"-11451,28"
"01/05/2017";"32105,54"
"01/06/2017";"19937,32"
"01/07/2017";"13977,34"
"01/08/2017";"9916,20"
"01/09/2017";"22226,95"
"01/10/2017";"-4967,31"
"01/11/2017";"366,45"
"01/12/2017";"22168,17"
"01/01/2018";"-36530,04"
"01/02/2018";"19004,78"
"01/03/2018";"25531,20"
"01/04/2018";"-5360,05"
"01/05/2018";"11120,27"
"01/06/2018";"14951,46"
"01/07/2018";"2676,94"
"01/08/2018";"20850,51"
"01/09/2018";"24291,86"
"01/10/2018";"-10197,07"
"01/11/2018";"17072,70"
"01/12/2018";"32754,81"
"01/01/2019";"-35606,95"
"01/02/2019";"20612,48"
"01/03/2019";"20399,61"
"01/04/2019";"-6132,96"
"01/05/2019";"13189,83"
"01/06/2019";"12212,15"
"01/07/2019";"1401,60"
"01/08/2019";"16459,37"
"01/09/2019";"20631,08"
"01/10/2019";"-8544,81"
"01/11/2019";"18177,16"
"01/12/2019";"16100,33"
"01/01/2020";"-45469,23"
"01/02/2020";"26892,93"
"01/03/2020";"21380,17"
"01/04/2020";"92164,88"
"01/05/2020";"127092,22"
"01/06/2020";"195180,00"
"01/07/2020";"88141,23"
"01/08/2020";"96471,06"
"01/09/2020";"75147,67"
"01/10/2020";"3209,93"
"01/11/2020";"20393,51"
"01/12/2020";"44661,49"
"01/01/2021";"-43156,41"
"01/02/2021";"22508,14"
"01/03/2021";"-3938,27"
"01/04/2021";"-16265,05"
"01/05/2021";"20923,69"
"01/06/2021";"75082,66"
"01/07/2021";"16842,32"
"01/08/2021";"11092,32"
"01/09/2021";"-708,29"
"01/10/2021";"-29042,40"
"01/11/2021";"-3528,70"
"01/12/2021";"-13937,83"
"01/01/2022";"-77429,54"
"01/02/2022";"19181,07"
"01/03/2022";"7811,43"
"01/04/2022";"-29638,37"
"01/05/2022";"40017,73"
"01/06/2022";"-13710,33"
"01/07/2022";"-19960,52"
"01/08/2022";"49773,21"
"01/09/2022";"-11113,02"
"01/10/2022";"-30244,34"
"01/11/2022";"16524,39"
"01/12/2022";"-6158,37"
"01/01/2023";"-79404,82"
"01/02/2023";"39237,77"
"01/03/2023";"9711,73"
"01/04/2023";"-16885,50"
"01/05/2023";"43187,91"
"01/06/2023";"46479,57"
"01/07/2023";"32477,84"
"01/08/2023";"26181,51"
"01/09/2023";"16505,56"
"01/10/2023";"-19455,64"
"01/11/2023";"38922,66"
"01/12/2023";"127574,19"
"01/01/2024";"-81283,50"
