Data,PIB - exportações - bens e serviços - variação real anual - (% a.a.),
1971,5.50962509449169,
1972,24.1635137425189,
1973,14.2547100352195,
1974,2.33356934930287,
1975,11.5727188106147,
1976,-0.293095515248099,
1977,-0.381963887549286,
1978,13.2517669814583,
1979,9.29989083748777,
1980,22.6142916356947,
1981,21.3527968727407,
1982,-9.19187179292079,
1983,14.2714643655305,
1984,21.9830025862499,
1985,7.04187056089731,
1986,-10.5742506011369,
1987,19.2401989673648,
1988,13.0661313260663,
1989,5.06090216990369,
1990,-4.9172216263981,
1991,-4.82838437475032,
1992,16.5390637674821,
1993,11.6843670285033,
1994,4.00649833857669,
1995,-2.03166106503928,
1996,-0.419864468241971,
1997,11.019288717273,
1998,4.90820532034464,
1999,5.70628958609523,
2000,12.860549342007,
2001,9.23052690934692,
2002,6.47682195592235,
2003,11.0159394107963,
2004,14.4737797057476,
2005,9.64417359655363,
2006,4.83742791395456,
2007,6.17610164184393,
2008,0.40925095237769,
2009,-9.24706648576382,
2010,11.7217215380661,
2011,4.81194637866516,
2012,0.707641622032185,
2013,1.83029508196722,
2014,-1.56968042539665,
2015,6.81956393635828,
2016,0.863125559169873,
2017,4.90879337544476,
2018,4.05308369135673,
2019,-2.56142103455811,
2020,-2.29090585025695,
2021,4.38225660497314,
2022,5.7428398672845,
2023,9.13617623671039,
