Data,PIB - preços de mercado - variação real anual - (% a.a.),PIB - formação bruta de capital fixo - máquinas e equipamentos -  índice real (base 2010 = 100),PIB - formação bruta de capital fixo - índice real (base 2010 = 100),PIB - formação bruta de capital fixo - construção - índice real (base 2010 = 100),PIB - serviços - comércio - variação real anual - (% a.a.),PIB - indústria - construção civil - variação real anual - (% a.a.),PIB - consumo final - famílias,PIB - indústria - eletricidade e gás- água- esgoto e limpeza urbana -  variação real anual - (% a.a.),PIB - exportações - bens e serviços - variação real anual - (% a.a.),PIB - importações - bens e serviços - variação real anual - (% a.a.),PIB - indústria - extrativa - variação real anual - (% a.a.),PIB - indústria - transformação - variação real anual - (% a.a.),IGP-M,IPCA,ptax,Resultado Primario,IED,DBGG_PIB,Selic Meta
2006,3.96198870899485,58.6487789645972,68.9700933290699,74.6196066763043,4.97782308526982,0.263220495444783,5.36561891609371,4.13739524042758,4.83742791395456,17.7625845710676,6.52456096405289,1.23359975034218,3.83157316585374,3.14151613157687,2.1615,-3455.74,1613.6,55.48,15.25
2007,6.06987060733152,71.3169152209501,77.2136802122195,79.0967830768826,8.25907497001426,9.19699451203717,6.70083538244172,6.12487912696065,6.17610164184393,19.557598662131,2.89041814567166,6.14130942714122,7.75438273698978,4.45765855337372,1.94435,-4867.755,3138.5,57.375,12.0
2008,5.09419544811993,86.4361012477916,86.7008926149552,84.7917514584181,5.32924004689306,4.90726381372808,6.52795874440004,2.58050660858951,0.40925095237769,17.0257102761014,4.11365808153425,4.14954925612696,9.80750503581767,5.90272439065465,1.7242,-7160.0650000000005,4068.6,55.71,12.25
2009,-0.125812002991623,77.1010023130301,84.8508041047352,89.2857142857143,-2.33483545845945,7.02117605259267,4.3752460140006,0.743359464374227,-9.24706648576382,-7.60196748194868,-2.12054433286666,-9.26395623348687,-1.71924922553605,4.31165006256784,1.94515,-2866.9,2073.3999999999996,58.775000000000006,9.25
2010,7.52822581812163,100.0,100.0,100.0,11.1494641897531,13.1009998851189,6.23813569233232,6.27570537882927,11.7217215380661,33.6390246777822,14.8879035206511,9.1900349313498,11.3231429496735,5.90868872179453,1.7597,-2556.385,6039.7,55.655,10.25
2011,3.97442307944702,105.7,106.834046414168,107.3,2.34101900636428,8.24735293122696,5.01067478228052,5.60625955184364,4.81194637866516,9.39326347823079,3.47019506206521,2.24718419264007,5.09681302062399,6.50335274368017,1.6606,-7828.945,9003.3,52.32,11.75
2012,1.92117598509454,101.472,107.666045391927,111.592,2.36449329000799,3.18398246154901,3.48718961039769,0.682328989407277,0.707641622032185,1.13085173688319,-1.94012314922463,-2.37869010129842,7.81824482516713,5.83859471814745,2.024,-4575.615,6826.1,53.375,8.5
2013,3.00482267028886,111.11184,113.939962363395,116.278864,3.42434151136433,4.49560204647164,3.57460256476494,1.60126904312952,1.83029508196722,6.66967929617444,-3.18651277451649,3.01330101299364,5.51061044346715,5.91068325533108,2.184,-4501.58,5888.200000000001,53.655,8.0
2014,0.50395574027327,103.3340112,109.127060130219,112.557940352,0.555784440966844,-2.14078536751525,2.27589187561084,-1.94358852808723,-1.56968042539665,-2.2718955924344,9.05170138412323,-4.68703298355386,3.68575514980403,6.40747079590815,2.3333,2313.59,7069.65,52.96,11.0
2015,-3.54576339347284,80.2905267024,93.9076544653836,101.189588376448,-7.30354350377349,-9.00451545222938,-3.1981362182985,-0.392657621707904,6.81956393635828,-14.1906368524759,5.6965210474196,-8.48427121277051,10.539166948817,10.6730281339751,3.19915,6886.9400000000005,5455.5,61.46,13.75
2016,-3.27591690632106,66.4002655828848,82.5168189696494,90.2611128317916,-6.62585240364704,-9.98419015059895,-3.76934098567988,6.47167222749891,0.863125559169873,-10.3429328257067,-1.21961127711626,-4.76702287365669,7.17290825289607,6.28798821322138,3.3981,14809.619999999999,6679.25,68.145,14.25
2017,1.32286905390816,69.8530793931948,80.4065705145382,82.4083960154257,2.313770154923,-9.24571291521765,2.08945554537867,0.923323128305031,4.90879337544476,6.71694072859938,4.92307692307692,2.30954190684345,-0.520940444939078,2.94742132043471,3.1679,12831.635,4865.35,72.96000000000001,10.25
2018,1.78366676136999,80.6104536197468,84.6132479486285,81.1722700751943,2.6328168661103,-2.99183006535948,2.33357682779649,3.66418760640546,4.05308369135673,7.74277894373836,0.389212313663223,1.39279553353671,7.53687340296325,3.74558117019155,3.726,16012.08,7200.35,75.49000000000001,6.5
2019,1.22077782271946,82.3838835993812,88.0198344176949,85.0685390388037,1.63374612251883,1.91507727721145,2.62352753943216,2.57768340984526,-2.56142103455811,1.33256606187228,-9.14949493695248,-0.425804281909559,7.3039306458065,4.30615161715953,3.9403,14645.08,5553.0,76.57499999999999,6.5
2020,-3.27675879612907,78.8413766046078,86.4821619384761,85.5789502730365,-1.45114820262828,-2.08572129519029,-4.46151845233946,-1.00962999444625,-2.29090585025695,-9.47663900848441,0.858782279547299,-4.66651473119209,23.1383511260526,4.51745688642451,5.2848,59904.58,2682.85,83.185,2.25
2021,4.7626043797063,87.5927694077193,97.6445175924579,95.7628453555278,4.49084384003799,12.6164055822425,2.93922343957608,1.54701786602396,4.38225660497314,13.7520532599674,3.59786173591923,3.77761036464792,17.7832123394504,10.0609827374433,5.4018,-2118.495,3939.85,80.41999999999999,4.25
2022,3.01669435408105,81.110904471548,98.708330418332,101.412853231504,0.897517388429403,6.8487840047341,,10.5174401803872,5.7428398672845,0.951493762686173,-1.38788886279352,-0.546624449089284,5.4512855725948,5.78509290788949,5.1878,-8635.695,6731.85,75.42,13.25
2023,2.90848048514813,73.4864794512225,95.7423847923168,101.210027525041,0.627449304626748,-0.45644114077058,,6.51850970714303,9.13617623671039,-1.19027928892613,8.69044300578299,-1.30625710729518,-3.18120664320427,4.62119000508181,4.9672,29329.675,5840.1,72.46000000000001,13.75
2024,,,,,,,,,,,,,,,4.9529,-81283.5,8741.3,75.03,11.25
